pts,position,id,name,birthday,countryAcr,country.name,country.acronym
8680,1,6458,Horacio Zeballos,1985-04-27T00:00:00.000Z,ARG,Argentina,ARG
8680,1,1035,Marcel Granollers,1986-04-12T00:00:00.000Z,ESP,Spain,ESP
7310,3,18496,Mate Pavic,1993-07-04T00:00:00.000Z,CRO,Croatia,CRO
7160,4,11489,Marcelo Arevalo,1990-10-17T00:00:00.000Z,ESA,El Salvador,ESA
6340,5,9521,Matthew Ebden,1987-11-26T00:00:00.000Z,AUS,Australia,AUS
6190,6,884,Rohan Bopanna,1980-03-04T00:00:00.000Z,IND,India,IND
5895,7,22433,Jordan Thompson,1994-04-20T00:00:00.000Z,AUS,Australia,AUS
5665,8,28263,Max Purcell,1998-04-03T00:00:00.000Z,AUS,Australia,AUS
5175,9,31290,Andrea Vavassori,1995-05-05T00:00:00.000Z,ITA,Italy,ITA
5010,10,1181,Rajeev Ram,1984-03-18T00:00:00.000Z,USA,United States,USA
4920,11,22600,Joe Salisbury,1992-04-20T00:00:00.000Z,GBR,Great Britain,GBR
4905,12,3833,Simone Bolelli,1985-10-08T00:00:00.000Z,ITA,Italy,ITA
4760,13,10819,Tim Puetz,1987-11-19T00:00:00.000Z,GER,Germany,GER
4760,13,11816,Kevin Krawietz,1992-01-24T00:00:00.000Z,GER,Germany,GER
4365,15,7869,Harri Heliovaara,1989-06-04T00:00:00.000Z,FIN,Finland,FIN
4110,16,18138,Wesley Koolhof,1989-04-17T00:00:00.000Z,NED,Netherlands,NED
4095,17,81186,Henry Patten,1996-05-06T00:00:00.000Z,GBR,Great Britain,GBR
3780,18,8891,Neal Skupski,1989-12-01T00:00:00.000Z,GBR,Great Britain,GBR
3775,19,10550,Michael Venus,1987-10-16T00:00:00.000Z,NZL,New Zealand,NZL
3690,20,24200,Jack Withrow,1993-07-07T00:00:00.000Z,USA,United States,USA
3690,20,43952,Nathaniel Lammons,1993-08-12T00:00:00.000Z,USA,United States,USA
3640,22,1672,Edouard Roger-Vasselin,1983-11-28T00:00:00.000Z,FRA,France,FRA
3535,23,6528,Nikola Mektic,1988-12-24T00:00:00.000Z,CRO,Croatia,CRO
3340,24,801,Santiago Gonzalez,1983-02-24T00:00:00.000Z,MEX,Mexico,MEX
3310,25,4964,Ivan Dodig,1985-01-02T00:00:00.000Z,CRO,Croatia,CRO
