pts,wk,position,player
8680,0,1,"{'id': 1035, 'name': 'Marcel Granollers', 'birthday': '1986-04-12T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
8680,0,1,"{'id': 6458, 'name': 'Horacio Zeballos', 'birthday': '1985-04-27T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
7310,0,3,"{'id': 18496, 'name': 'Mate Pavic', 'birthday': '1993-07-04T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
7160,0,4,"{'id': 11489, 'name': 'Marcelo Arevalo', 'birthday': '1990-10-17T00:00:00.000Z', 'countryAcr': 'ESA', 'country': {'name': 'El Salvador', 'acronym': 'ESA'}}"
6340,0,5,"{'id': 9521, 'name': 'Matthew Ebden', 'birthday': '1987-11-26T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
6190,0,6,"{'id': 884, 'name': 'Rohan Bopanna', 'birthday': '1980-03-04T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
5895,0,7,"{'id': 22433, 'name': 'Jordan Thompson', 'birthday': '1994-04-20T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
5665,0,8,"{'id': 28263, 'name': 'Max Purcell', 'birthday': '1998-04-03T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
5175,0,9,"{'id': 31290, 'name': 'Andrea Vavassori', 'birthday': '1995-05-05T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
5010,0,10,"{'id': 1181, 'name': 'Rajeev Ram', 'birthday': '1984-03-18T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
4920,0,11,"{'id': 22600, 'name': 'Joe Salisbury', 'birthday': '1992-04-20T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
4905,0,12,"{'id': 3833, 'name': 'Simone Bolelli', 'birthday': '1985-10-08T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
4760,0,13,"{'id': 10819, 'name': 'Tim Puetz', 'birthday': '1987-11-19T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
4760,0,13,"{'id': 11816, 'name': 'Kevin Krawietz', 'birthday': '1992-01-24T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
4365,0,15,"{'id': 7869, 'name': 'Harri Heliovaara', 'birthday': '1989-06-04T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
4110,0,16,"{'id': 18138, 'name': 'Wesley Koolhof', 'birthday': '1989-04-17T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
4095,0,17,"{'id': 81186, 'name': 'Henry Patten', 'birthday': '1996-05-06T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
3780,1,18,"{'id': 8891, 'name': 'Neal Skupski', 'birthday': '1989-12-01T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
3775,-1,19,"{'id': 10550, 'name': 'Michael Venus', 'birthday': '1987-10-16T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
3690,0,20,"{'id': 24200, 'name': 'Jack Withrow', 'birthday': '1993-07-07T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
3690,0,20,"{'id': 43952, 'name': 'Nathaniel Lammons', 'birthday': '1993-08-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
3640,0,22,"{'id': 1672, 'name': 'Edouard Roger-Vasselin', 'birthday': '1983-11-28T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
3535,0,23,"{'id': 6528, 'name': 'Nikola Mektic', 'birthday': '1988-12-24T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
3340,0,24,"{'id': 801, 'name': 'Santiago Gonzalez', 'birthday': '1983-02-24T00:00:00.000Z', 'countryAcr': 'MEX', 'country': {'name': 'Mexico', 'acronym': 'MEX'}}"
3310,0,25,"{'id': 4964, 'name': 'Ivan Dodig', 'birthday': '1985-01-02T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
3150,0,26,"{'id': 21070, 'name': 'Hugo Nys', 'birthday': '1991-02-16T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
3060,0,27,"{'id': 29780, 'name': 'Jan Zielinski', 'birthday': '1996-11-16T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
2905,1,28,"{'id': 11009, 'name': 'Austin Krajicek', 'birthday': '1990-06-16T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
2895,-1,29,"{'id': 29469, 'name': 'Fabien Reboul', 'birthday': '1995-09-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
2685,0,30,"{'id': 7382, 'name': 'Andres Molteni', 'birthday': '1988-03-15T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
2535,0,31,"{'id': 12229, 'name': 'Sadio Doumbia', 'birthday': '1990-09-12T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
2505,2,32,"{'id': 1936, 'name': 'Maximo Gonzalez', 'birthday': '1983-07-20T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
2455,-1,33,"{'id': 20849, 'name': 'Sander Gille', 'birthday': '1991-01-15T00:00:00.000Z', 'countryAcr': 'BEL', 'country': {'name': 'Belgium', 'acronym': 'BEL'}}"
2455,-1,33,"{'id': 29271, 'name': 'Joran Vliegen', 'birthday': '1993-07-07T00:00:00.000Z', 'countryAcr': 'BEL', 'country': {'name': 'Belgium', 'acronym': 'BEL'}}"
2440,0,35,"{'id': 24870, 'name': 'Rafael Matos', 'birthday': '1996-01-06T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
2295,1,36,"{'id': 1153, 'name': 'Marcelo Melo', 'birthday': '1983-09-23T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
2215,-1,37,"{'id': 6508, 'name': 'Jamie Murray', 'birthday': '1986-02-13T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
2085,0,38,"{'id': 29184, 'name': 'Julian Cash', 'birthday': '1996-08-29T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
2065,0,39,"{'id': 3345, 'name': 'Jean-Julien Rojer', 'birthday': '1981-08-25T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
2045,0,40,"{'id': 43211, 'name': 'Robert Galloway', 'birthday': '1992-09-24T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
2010,0,41,"{'id': 22439, 'name': 'Adam Pavlasek', 'birthday': '1994-10-08T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1950,1,42,"{'id': 12495, 'name': 'Yuki Bhambri', 'birthday': '1992-07-04T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
1930,-1,43,"{'id': 20099, 'name': 'Lloyd Glasspool', 'birthday': '1993-11-19T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
1916,1,44,"{'id': 9667, 'name': 'Ariel Behar', 'birthday': '1989-11-12T00:00:00.000Z', 'countryAcr': 'URU', 'country': {'name': 'Uruguay', 'acronym': 'URU'}}"
1865,-1,45,"{'id': 14860, 'name': 'Albano Olivetti', 'birthday': '1991-11-24T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1825,1,46,"{'id': 48438, 'name': 'Constantin Frantzen', 'birthday': '1998-03-16T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1825,1,46,"{'id': 30867, 'name': 'Hendrik Jebens', 'birthday': '1995-08-08T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1792,-2,48,"{'id': 29826, 'name': 'Alexander Erler', 'birthday': '1997-10-27T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1780,0,49,"{'id': 26140, 'name': 'Zhizhen Zhang', 'birthday': '1996-10-16T00:00:00.000Z', 'countryAcr': 'CHN', 'country': {'name': 'China', 'acronym': 'CHN'}}"
1675,1,50,"{'id': 58149, 'name': 'Rinky Hijikata', 'birthday': '2001-02-23T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1655,1,51,"{'id': 12594, 'name': 'Guido Andreozzi', 'birthday': '1991-08-05T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
1645,-2,52,"{'id': 58327, 'name': 'Tomas Machac', 'birthday': '2000-10-13T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1630,0,53,"{'id': 48042, 'name': 'Sem Verbeek', 'birthday': '1994-04-12T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1580,0,54,"{'id': 19584, 'name': 'Nicolas Barrientos', 'birthday': '1987-04-24T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
1560,0,55,"{'id': 7245, 'name': 'Gonzalo Escobar', 'birthday': '1989-01-20T00:00:00.000Z', 'countryAcr': 'ECU', 'country': {'name': 'Ecuador', 'acronym': 'ECU'}}"
1545,0,56,"{'id': 11735, 'name': 'John Peers', 'birthday': '1988-07-25T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1530,0,57,"{'id': 7345, 'name': 'Aleksandr Nedovyesov', 'birthday': '1987-02-15T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
1502,0,58,"{'id': 26887, 'name': 'Lucas Miedler', 'birthday': '1996-06-21T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1495,1,59,"{'id': 9842, 'name': 'John-Patrick Smith', 'birthday': '1989-01-24T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1494,2,60,"{'id': 6302, 'name': 'Miguel-Angel Reyes-Varela', 'birthday': '1987-06-21T00:00:00.000Z', 'countryAcr': 'MEX', 'country': {'name': 'Mexico', 'acronym': 'MEX'}}"
1445,0,61,"{'id': 20818, 'name': 'Andreas Mies', 'birthday': '1990-08-21T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1415,1,62,"{'id': 6081, 'name': 'Robin Haase', 'birthday': '1987-04-06T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1402,2,63,"{'id': 10363, 'name': 'N.Sriram Balaji', 'birthday': '1990-03-18T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
1382,0,64,"{'id': 25810, 'name': 'Skander Mansouri', 'birthday': '1995-07-23T00:00:00.000Z', 'countryAcr': 'TUN', 'country': {'name': 'Tunisia', 'acronym': 'TUN'}}"
1380,-6,65,"{'id': 42451, 'name': 'Sebastian Korda', 'birthday': '2000-07-05T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
1350,0,66,"{'id': 26003, 'name': 'Andre Goransson', 'birthday': '1994-04-30T00:00:00.000Z', 'countryAcr': 'SWE', 'country': {'name': 'Sweden', 'acronym': 'SWE'}}"
1305,1,67,"{'id': 26148, 'name': 'Sander Arends', 'birthday': '1991-08-09T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1298,2,68,"{'id': 26321, 'name': 'Luke Johnson', 'birthday': '1994-03-18T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
1276,-2,69,"{'id': 27084, 'name': 'Gregoire Jacq', 'birthday': '1992-11-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
