pts,position,player
8680,1,"{'id': 1035, 'name': 'Marcel Granollers', 'birthday': '1986-04-12T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
8680,1,"{'id': 6458, 'name': 'Horacio Zeballos', 'birthday': '1985-04-27T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
7310,3,"{'id': 18496, 'name': 'Mate Pavic', 'birthday': '1993-07-04T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
7160,4,"{'id': 11489, 'name': 'Marcelo Arevalo', 'birthday': '1990-10-17T00:00:00.000Z', 'countryAcr': 'ESA', 'country': {'name': 'El Salvador', 'acronym': 'ESA'}}"
6340,5,"{'id': 9521, 'name': 'Matthew Ebden', 'birthday': '1987-11-26T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
6190,6,"{'id': 884, 'name': 'Rohan Bopanna', 'birthday': '1980-03-04T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
5895,7,"{'id': 22433, 'name': 'Jordan Thompson', 'birthday': '1994-04-20T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
5665,8,"{'id': 28263, 'name': 'Max Purcell', 'birthday': '1998-04-03T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
5175,9,"{'id': 31290, 'name': 'Andrea Vavassori', 'birthday': '1995-05-05T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
5010,10,"{'id': 1181, 'name': 'Rajeev Ram', 'birthday': '1984-03-18T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
4920,11,"{'id': 22600, 'name': 'Joe Salisbury', 'birthday': '1992-04-20T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
4905,12,"{'id': 3833, 'name': 'Simone Bolelli', 'birthday': '1985-10-08T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
4760,13,"{'id': 10819, 'name': 'Tim Puetz', 'birthday': '1987-11-19T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
4760,13,"{'id': 11816, 'name': 'Kevin Krawietz', 'birthday': '1992-01-24T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
4365,15,"{'id': 7869, 'name': 'Harri Heliovaara', 'birthday': '1989-06-04T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
4110,16,"{'id': 18138, 'name': 'Wesley Koolhof', 'birthday': '1989-04-17T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
4095,17,"{'id': 81186, 'name': 'Henry Patten', 'birthday': '1996-05-06T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
3780,18,"{'id': 8891, 'name': 'Neal Skupski', 'birthday': '1989-12-01T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
